title,image
ЗОЛОТАЯ ОСЕНЬ_Левитан_Исаак.txt,https://cdn.tretyakov.ru/mytretyakov/24/5f8eda33e86432c728a367b05dc7f69e/thumb/92b33830cc49fb03f09878be4ae0f965_x1.jpg
ПОРТРЕТ ПОЭТА А.С. ПУШКИНА_Кипренский_Орест.txt,https://cdn.tretyakov.ru/mytretyakov/23/29a62f760b1397406bf213945f2e403a/thumb/62583a0cf7eaa184d54ec8b30d525fbb_x1.jpg
ФИОРД_Крыжицкий_Константин.txt,https://cdn.tretyakov.ru/mytretyakov/103/c12fa366db008b75fba56b0a1bb00d77/thumb/6dc28709bb45f5900fdefc27e57d7bfb_x1.png
ДЕМОН (СИДЯЩИЙ)_Врубель_Михаил.txt,https://cdn.tretyakov.ru/mytretyakov/25/96fe3eeba02624de0f2e1a9c9ef8faa0/thumb/be53ee61104935234b174e62a07e53cf_x1.png
АЛЁНУШКА_Васнецов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/23/c4170709f95599fc2c06d8957d31be79/thumb/5f39bcef49d94ee04d16a3d922701479_x1.jpg
КОНИ СВ. МАРКА. ВЕНЕЦИЯ_Кустодиев_Борис.txt,https://cdn.tretyakov.ru/mytretyakov/b/c44e7ed2f16b3bb858ea9c0799559ced/thumb/80577d9cb5c479e8e8b85252f1bfe005_x1.jpg
ГРАДАЦИЯ ТОНОВ. ТАБЛИЦА № 1_Клюн_Иван.txt,https://cdn.tretyakov.ru/mytretyakov/43/6974356b8dc074dd2af514c8a4cabd35/thumb/ad627bf5fd6966693e97a7349d85589c_x1.jpg
ДЕВОЧКА С ПЕРСИКАМИ_Серов_Валентин.txt,https://cdn.tretyakov.ru/mytretyakov/26/d001bf75d6119625b2029301b1f5f280/thumb/0c435f427d72afd89d2c0d8467f7819e_x1.jpg
ИВАН ГРОЗНЫЙ И СЫН ЕГО ИВАН 16 НОЯБРЯ 1581 ГОДА_Репин_Илья.txt,https://cdn.tretyakov.ru/mytretyakov/25/95296ea3edafe3aceb15f7766647d85e/thumb/9ab778c6cfd631775dc15d9d69fb6943_x1.png
ВЕСНА. ДЕРЕВНЯ_Кравченко_Алексей.txt,https://cdn.tretyakov.ru/mytretyakov/49/d68f88674c399610fd665829347053cf/thumb/46c076656e27395b817aa121af8a4546_x1.png
КОЛЕСО ФОРТУНЫ_Романовская_Марианна.txt,https://cdn.tretyakov.ru/mytretyakov/cc/9946be0bb4f7186d9523f027fcf6017d/thumb/4d1543d8030e14398cac7a30c55a47b7_x1.png
БОГОМАТЕРЬ_Боровиковский_Владимир.txt,https://cdn.tretyakov.ru/mytretyakov/22/d59fb1aded89df70b974c5b37b59655a/thumb/7bee424db269e7f9c5d0a68c7a635018_x1.jpg
"СОСНЫ, ОСВЕЩЕННЫЕ СОЛНЦЕМ_Шишкин_Иван.txt",https://cdn.tretyakov.ru/mytretyakov/25/b9f19c1074c97e3dfc72d782c16cfd68/thumb/18070bd62a9c81bad4c476c5b93a0cb4_x1.jpg
НЕ ЖДАЛИ_Репин_Илья.txt,https://cdn.tretyakov.ru/mytretyakov/25/c59b7bf7c82738c43f903d555ed3080b/thumb/c3bb578937b2f73315a7ebab091189b4_x1.jpg
ПОРТРЕТ В.А. СЕРОВА_Репин_Илья.txt,https://cdn.tretyakov.ru/mytretyakov/4/8a508f18f3653cdf0144526d75233204/thumb/c640e7ab3dd962978c6918a135dc827b_x1.png
ГЕОРГИЙ ПОБЕДОНОСЕЦ_Нестеров_Михаил.txt,https://cdn.tretyakov.ru/mytretyakov/27/c85506ebd20d1a71584e6648169299ee/thumb/42cbcf5f53034b67f926aab284e155ec_x1.jpg
УТРО СТРЕЛЕЦКОЙ КАЗНИ_Суриков_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/25/e005a2bd716a0c4b290cb5cc80b4a717/thumb/0bcbd792d7bd39f253a4157a723acf83_x1.jpg
СВАТОВСТВО МАЙОРА_Федотов_Павел.txt,https://cdn.tretyakov.ru/mytretyakov/23/ebd63a581b1621021f1d7eefabc92697/thumb/c2e20ef6885aa9d44dedc57d98d6287d_x1.jpg
ОХОТА НА МОРЖЕЙ_Коровин_Константин.txt,https://cdn.tretyakov.ru/mytretyakov/26/143b81dafb97db452d1f23f6cebef174/thumb/8f0579982ce04e7437d8375776b3098d_x1.png
ЧАЙНЫЙ СТОЛ_Каменский_Алексей.txt,https://cdn.tretyakov.ru/mytretyakov/77/05c8841c3e55d23c4b327ccfb095b0de/thumb/da732450924c186e50b573c46cd7f3c8_x1.jpg
НЕАПОЛЬ_Нестеров_Михаил.txt,https://cdn.tretyakov.ru/mytretyakov/da/8e3fa6ef69909315cef2e93ffc15ec0e/thumb/ae8960b65f907c2d486b84842ea08981_x1.jpg
